method,dataset,N,pred_len,seed,MSE,MAE,model_id
anti_clustering,electricity,321,336,2045,0.17825394868850708,0.2713296711444855,gi_anti_clustering_electricity_pl336_s2045
anti_clustering,electricity,321,336,2046,0.1789376586675644,0.27140891551971436,gi_anti_clustering_electricity_pl336_s2046
anti_clustering,electricity,321,336,2047,0.1796960085630417,0.27260518074035645,gi_anti_clustering_electricity_pl336_s2047
anti_clustering,electricity,321,336,2048,0.17991456389427185,0.27320554852485657,gi_anti_clustering_electricity_pl336_s2048
anti_clustering,electricity,321,336,2049,0.17941880226135254,0.2724969983100891,gi_anti_clustering_electricity_pl336_s2049
anti_clustering,electricity,321,336,2050,0.17981509864330292,0.2723693549633026,gi_anti_clustering_electricity_pl336_s2050
anti_clustering,electricity,321,720,2021,0.2140554040670395,0.30457639694213867,gi_anti_clustering_electricity_pl720_s2021
anti_clustering,electricity,321,720,2022,0.21571043133735657,0.30610546469688416,gi_anti_clustering_electricity_pl720_s2022
anti_clustering,electricity,321,720,2023,0.21285030245780945,0.3031129539012909,gi_anti_clustering_electricity_pl720_s2023
anti_clustering,electricity,321,720,2024,0.2142597734928131,0.30446162819862366,gi_anti_clustering_electricity_pl720_s2024
anti_clustering,electricity,321,720,2025,0.21628032624721527,0.30705004930496216,gi_anti_clustering_electricity_pl720_s2025
anti_clustering,electricity,321,720,2026,0.21294042468070984,0.3036344647407532,gi_anti_clustering_electricity_pl720_s2026
anti_clustering,electricity,321,720,2027,0.21300962567329407,0.30368363857269287,gi_anti_clustering_electricity_pl720_s2027
anti_clustering,electricity,321,720,2028,0.21416820585727692,0.3048897981643677,gi_anti_clustering_electricity_pl720_s2028
anti_clustering,electricity,321,720,2029,0.21673047542572021,0.3076542615890503,gi_anti_clustering_electricity_pl720_s2029
anti_clustering,electricity,321,720,2030,0.21369366347789764,0.30416339635849,gi_anti_clustering_electricity_pl720_s2030
anti_clustering,electricity,321,720,2031,0.2143624871969223,0.3042875826358795,gi_anti_clustering_electricity_pl720_s2031
anti_clustering,electricity,321,720,2032,0.21734356880187988,0.30821123719215393,gi_anti_clustering_electricity_pl720_s2032
anti_clustering,electricity,321,720,2033,0.21613289415836334,0.3065969944000244,gi_anti_clustering_electricity_pl720_s2033
anti_clustering,electricity,321,720,2034,0.21483907103538513,0.3051590919494629,gi_anti_clustering_electricity_pl720_s2034
anti_clustering,electricity,321,720,2035,0.21580077707767487,0.30678093433380127,gi_anti_clustering_electricity_pl720_s2035
anti_clustering,electricity,321,720,2036,0.2159116417169571,0.3062296211719513,gi_anti_clustering_electricity_pl720_s2036
anti_clustering,electricity,321,720,2037,0.21436728537082672,0.30506521463394165,gi_anti_clustering_electricity_pl720_s2037
anti_clustering,electricity,321,720,2038,0.2114429771900177,0.30193865299224854,gi_anti_clustering_electricity_pl720_s2038
anti_clustering,electricity,321,720,2039,0.21573427319526672,0.30628252029418945,gi_anti_clustering_electricity_pl720_s2039
anti_clustering,electricity,321,720,2040,0.2148844599723816,0.30509090423583984,gi_anti_clustering_electricity_pl720_s2040
anti_clustering,electricity,321,720,2041,0.21599362790584564,0.3063395917415619,gi_anti_clustering_electricity_pl720_s2041
anti_clustering,electricity,321,720,2042,0.2119789719581604,0.3025217056274414,gi_anti_clustering_electricity_pl720_s2042
anti_clustering,electricity,321,720,2043,0.21631169319152832,0.3065585196018219,gi_anti_clustering_electricity_pl720_s2043
anti_clustering,electricity,321,720,2044,0.21176360547542572,0.30231302976608276,gi_anti_clustering_electricity_pl720_s2044
anti_clustering,electricity,321,720,2045,0.21252557635307312,0.3035496473312378,gi_anti_clustering_electricity_pl720_s2045
