method,pl,seed,mse,epoch1_loss,is_anomalous
anti_clustering,192,2021,0.4144381284713745,0.385505,False
anti_clustering,192,2022,0.4148191511631012,0.3980364,False
anti_clustering,192,2023,0.416941374540329,0.3881891,False
anti_clustering,192,2024,0.4151755273342132,0.4086579,False
anti_clustering,192,2025,0.414520651102066,0.3916063,False
anti_clustering,192,2026,0.4146086871623993,0.3818601,False
anti_clustering,192,2027,0.4152891337871551,0.3975973,False
anti_clustering,192,2028,0.4138343334197998,0.3897282,False
anti_clustering,192,2029,0.4154970943927765,0.3919741,False
anti_clustering,192,2030,0.4156222939491272,0.3815493,False
anti_clustering,192,2031,0.4155726134777069,0.3891364,False
anti_clustering,192,2032,0.4160440564155578,0.3914194,False
anti_clustering,192,2033,0.4153497219085693,0.3882747,False
anti_clustering,192,2034,0.4167389273643493,0.3988987,False
anti_clustering,192,2035,0.4156047105789184,0.3942862,False
anti_clustering,192,2036,0.4150031805038452,0.3927037,False
anti_clustering,192,2037,0.4148398339748382,0.4120824,False
anti_clustering,192,2038,0.415964663028717,0.4005685,False
anti_clustering,192,2039,0.416125476360321,0.4076941,False
anti_clustering,192,2040,0.4152769148349762,0.3910744,False
anti_clustering,192,2041,0.4163577556610107,0.3929631,False
anti_clustering,192,2042,0.4158800542354584,0.4007545,False
anti_clustering,192,2043,0.4166032969951629,0.408246,False
anti_clustering,192,2044,0.4170190691947937,0.3880952,False
anti_clustering,192,2045,0.4142869114875793,0.3875374,False
anti_clustering,192,2046,0.4156903028488159,0.3856008,False
anti_clustering,192,2047,0.4163353741168976,0.4277238,False
anti_clustering,192,2048,0.4145078659057617,0.3900991,False
anti_clustering,192,2049,0.4160654544830322,0.3959642,False
anti_clustering,192,2050,0.4168287515640259,0.4082004,False
anti_clustering,336,2021,0.431869238615036,0.4333022,False
anti_clustering,336,2022,0.4307480752468109,0.4054666,False
anti_clustering,336,2023,0.4312893450260162,0.3912341,False
anti_clustering,336,2024,0.4305700063705444,0.4190278,False
anti_clustering,336,2025,0.4299012124538421,0.4118132,False
anti_clustering,336,2026,0.4311586618423462,0.4103575,False
anti_clustering,336,2027,0.825378954410553,0.6001218,True
anti_clustering,336,2028,0.4295035302639007,0.3943147,False
anti_clustering,336,2029,0.4307533800601959,0.4463109,False
anti_clustering,336,2030,0.430460125207901,0.3957953,False
anti_clustering,336,2031,0.4317677021026611,0.4447686,False
anti_clustering,336,2032,0.430647075176239,0.4068985,False
anti_clustering,336,2033,0.4310852289199829,0.3989459,False
anti_clustering,336,2034,0.4312416613101959,0.4069932,False
anti_clustering,336,2035,0.43141770362854,0.4094315,False
anti_clustering,336,2036,0.4313670396804809,0.4331935,False
anti_clustering,336,2037,0.4302646815776825,0.4258082,False
anti_clustering,336,2038,0.431795597076416,0.409972,False
anti_clustering,336,2039,0.4314184784889221,0.4069564,False
anti_clustering,336,2040,0.4311145544052124,0.4109026,False
anti_clustering,336,2041,0.4310051202774048,0.406509,False
anti_clustering,336,2042,0.4314052760601043,0.4112615,False
anti_clustering,336,2043,0.4316343069076538,0.400227,False
anti_clustering,336,2044,0.4321337044239044,0.404777,False
anti_clustering,336,2045,0.4320971369743347,0.4231403,False
anti_clustering,336,2046,0.432295024394989,0.4285001,False
anti_clustering,336,2047,0.4310196042060852,0.4108295,False
anti_clustering,336,2048,0.4303313791751861,0.4130477,False
anti_clustering,336,2049,0.4321991801261902,0.4241184,False
anti_clustering,336,2050,0.4328409731388092,0.4479582,False
anti_clustering,720,2021,0.4630471169948578,0.4392773,False
anti_clustering,720,2022,0.4628864824771881,0.4477548,False
anti_clustering,720,2023,0.4656749367713928,0.4768521,False
anti_clustering,720,2024,0.4632190763950348,0.4594549,False
anti_clustering,720,2025,0.4629475474357605,0.4683764,False
anti_clustering,720,2026,0.4641018211841583,0.4766306,False
anti_clustering,720,2027,0.4644384980201721,0.4785714,False
anti_clustering,720,2028,0.4631437659263611,0.4497948,False
anti_clustering,720,2029,0.4655764698982239,0.527636,False
anti_clustering,720,2030,0.4633594453334808,0.462896,False
anti_clustering,720,2031,0.9896128177642822,0.6201852,True
anti_clustering,720,2032,0.4636576175689697,0.4843096,False
anti_clustering,720,2033,0.4641637206077575,0.4506477,False
anti_clustering,720,2034,0.4645553529262543,0.4620675,False
anti_clustering,720,2035,0.4679857790470123,0.5478759,False
anti_clustering,720,2036,0.4681926667690277,0.5599738,False
anti_clustering,720,2037,1.026081681251526,0.6276458,True
anti_clustering,720,2038,0.4682202339172363,0.5374564,False
anti_clustering,720,2039,0.4649804532527923,0.4813814,False
anti_clustering,720,2040,0.4648710489273071,0.4902481,False
anti_clustering,720,2041,0.4640972018241882,0.4455473,False
anti_clustering,720,2042,0.4654109179973602,0.4861625,False
anti_clustering,720,2043,0.4643494784832001,0.4706025,False
anti_clustering,720,2044,0.4638585448265075,0.4453985,False
anti_clustering,720,2045,0.4635590314865112,0.4660578,False
anti_clustering,720,2046,0.4654934108257293,0.476271,False
anti_clustering,720,2047,0.4656919836997986,0.4957244,False
anti_clustering,720,2048,0.4643307626247406,0.4379612,False
anti_clustering,720,2049,0.4659139811992645,0.526068,False
anti_clustering,720,2050,0.4664439260959625,0.5127308,False
anti_clustering,96,2021,0.3975094258785248,0.5011896,False
anti_clustering,96,2022,0.3935922086238861,0.4345722,False
anti_clustering,96,2023,0.3937104344367981,0.4120666,False
anti_clustering,96,2024,0.3948118388652801,0.4638777,False
anti_clustering,96,2025,0.395954966545105,0.4587531,False
anti_clustering,96,2026,0.3932206928730011,0.4314863,False
anti_clustering,96,2027,0.3945082724094391,0.4609602,False
anti_clustering,96,2028,0.3940987288951874,0.447335,False
anti_clustering,96,2029,0.3947249054908752,0.4330121,False
anti_clustering,96,2030,0.3946202397346496,0.4574897,False
anti_clustering,96,2031,0.3958828151226043,0.473211,False
anti_clustering,96,2032,0.395129919052124,0.4386247,False
anti_clustering,96,2033,0.3976618647575378,0.4890122,False
anti_clustering,96,2034,0.8802632689476013,0.6227166,True
anti_clustering,96,2035,0.394551545381546,0.4262065,False
anti_clustering,96,2036,0.39554163813591,0.442542,False
anti_clustering,96,2037,0.3989858031272888,0.5543744,False
anti_clustering,96,2038,0.3955850005149841,0.4858159,False
anti_clustering,96,2039,0.3956007659435272,0.4747175,False
anti_clustering,96,2040,0.3955011069774627,0.4319744,False
anti_clustering,96,2041,0.3951151967048645,0.4118685,False
anti_clustering,96,2042,0.3946796953678131,0.4405284,False
anti_clustering,96,2043,0.3950722217559814,0.4607754,False
anti_clustering,96,2044,0.3950108587741852,0.4431223,False
anti_clustering,96,2045,0.3958154320716858,0.4754677,False
anti_clustering,96,2046,0.3970296382904053,0.4521139,False
anti_clustering,96,2047,0.3961624503135681,0.4374847,False
anti_clustering,96,2048,0.3937889635562897,0.4185817,False
anti_clustering,96,2049,0.3990301191806793,0.5213396,False
anti_clustering,96,2050,0.3951383233070373,0.4518883,False
