model,variant,dataset,N,pred_len,FLOPs_G,Params_M,train_vram_GB,infer_vram_GB,train_ms_batch,infer_ms_batch
PatchTST_sl96,,solar_AL,137,336,10.6563,8.3787,19.9225,1.0250,79.9917,25.0192
PatchTST_sl96,,solar_AL,137,720,10.9795,10.7384,19.9619,1.0619,82.3423,25.3851
TSMixer,,traffic,862,96,0.3469,1.9753,0.2548,0.1508,24.1547,1.6992
TSMixer,,traffic,862,192,0.3548,1.9846,0.2952,0.1744,32.5957,1.8134
TSMixer,,traffic,862,336,0.3668,1.9985,0.3938,0.2140,55.6279,1.8480
TSMixer,,traffic,862,720,0.3985,2.0358,0.6485,0.3210,91.8676,1.9735
TSMixer,,electricity,321,96,0.0661,0.4382,0.0891,0.0537,14.3271,1.5812
TSMixer,,electricity,321,192,0.0690,0.4475,0.1080,0.0639,17.0408,1.6360
TSMixer,,electricity,321,336,0.0735,0.4615,0.1457,0.0781,21.0676,1.6084
TSMixer,,electricity,321,720,0.0853,0.4987,0.2397,0.1275,30.5897,1.5291
TSMixer,,solar_AL,137,96,0.0282,0.2494,0.0522,0.0342,13.8280,1.2248
TSMixer,,solar_AL,137,192,0.0295,0.2587,0.0597,0.0380,13.2803,1.2991
TSMixer,,solar_AL,137,336,0.0314,0.2727,0.0754,0.0452,13.8837,1.3898
TSMixer,,solar_AL,137,720,0.0364,0.3099,0.1170,0.0661,16.1251,1.5803
Transformer,,traffic,862,96,1.6753,13.6052,0.7207,0.3168,29.9782,7.2095
Transformer,,traffic,862,192,2.2924,13.6052,0.9604,0.4425,35.6232,8.7078
Transformer,,traffic,862,336,3.2890,13.6052,1.4340,0.7614,56.8785,10.9919
Transformer,,traffic,862,720,6.3615,13.6052,3.2045,2.1956,114.4920,30.0811
Transformer,,electricity,321,96,1.4360,11.6657,0.6554,0.2522,24.3982,6.4318
Transformer,,electricity,321,192,1.9468,11.6657,0.8999,0.3803,26.3486,7.4700
Transformer,,electricity,321,336,2.7837,11.6657,1.3556,0.6752,35.4945,10.5791
Transformer,,electricity,321,720,5.4309,11.6657,2.9711,2.0489,72.1867,21.0903
Transformer,,solar_AL,137,96,1.3541,11.0061,0.6390,0.2426,22.1406,6.2851
Transformer,,solar_AL,137,192,1.8285,11.0061,0.8822,0.3578,23.9489,6.7246
Transformer,,solar_AL,137,336,2.6109,11.0061,1.3245,0.6442,31.8487,9.2017
Transformer,,solar_AL,137,720,5.1125,11.0061,2.8936,1.9968,71.3296,20.5582
VG_iFlashformer_SF,,traffic,862,96,5.9983,6.4533,1.3319,0.3388,44.8444,12.0184
VG_iFlashformer_SF,,traffic,862,192,6.0409,6.5026,1.3495,0.3540,47.5171,12.0856
VG_iFlashformer_SF,,traffic,862,336,6.1047,6.5765,1.4094,0.3768,51.6355,12.1853
