model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
Crossformer,,traffic,862,336,2024,0.5795152187347412,0.3163687288761139,cf_traffic_pl336_s2024
Crossformer,,traffic,862,336,2025,0.5867577791213989,0.3245353400707245,cf_traffic_pl336_s2025
Crossformer,,traffic,862,720,2021,OOM,OOM,cf_traffic_pl720_s2021
Crossformer,,traffic,862,720,2022,OOM,OOM,cf_traffic_pl720_s2022
Crossformer,,traffic,862,720,2023,OOM,OOM,cf_traffic_pl720_s2023
Crossformer,,traffic,862,720,2024,OOM,OOM,cf_traffic_pl720_s2024
Crossformer,,traffic,862,720,2025,OOM,OOM,cf_traffic_pl720_s2025
DLinear,,electricity,321,96,2021,0.21028096973896027,0.3014528453350067,dlinear_tslib_electricity_pl96_s2021
DLinear,,electricity,321,96,2022,0.21032434701919556,0.30150306224823,dlinear_tslib_electricity_pl96_s2022
DLinear,,electricity,321,96,2023,0.21034231781959534,0.3015374541282654,dlinear_tslib_electricity_pl96_s2023
DLinear,,electricity,321,96,2024,0.2103157639503479,0.3015090227127075,dlinear_tslib_electricity_pl96_s2024
DLinear,,electricity,321,96,2025,0.2103542685508728,0.30154699087142944,dlinear_tslib_electricity_pl96_s2025
DLinear,,electricity,321,192,2021,0.2101583033800125,0.30472904443740845,dlinear_tslib_electricity_pl192_s2021
DLinear,,electricity,321,192,2022,0.21017491817474365,0.30476558208465576,dlinear_tslib_electricity_pl192_s2022
DLinear,,electricity,321,192,2023,0.2101489156484604,0.30471915006637573,dlinear_tslib_electricity_pl192_s2023
DLinear,,electricity,321,192,2024,0.21018877625465393,0.3047676086425781,dlinear_tslib_electricity_pl192_s2024
DLinear,,electricity,321,192,2025,0.2101762890815735,0.30474141240119934,dlinear_tslib_electricity_pl192_s2025
DLinear,,electricity,321,336,2021,0.22312915325164795,0.3192271292209625,dlinear_tslib_electricity_pl336_s2021
DLinear,,electricity,321,336,2022,0.22302953898906708,0.31914040446281433,dlinear_tslib_electricity_pl336_s2022
DLinear,,electricity,321,336,2023,0.22298093140125275,0.3190654218196869,dlinear_tslib_electricity_pl336_s2023
DLinear,,electricity,321,336,2024,0.223001167178154,0.31906870007514954,dlinear_tslib_electricity_pl336_s2024
DLinear,,electricity,321,336,2025,0.22305919229984283,0.31915283203125,dlinear_tslib_electricity_pl336_s2025
DLinear,,electricity,321,720,2021,0.25774604082107544,0.3496248126029968,dlinear_tslib_electricity_pl720_s2021
DLinear,,electricity,321,720,2022,0.25776997208595276,0.3496510088443756,dlinear_tslib_electricity_pl720_s2022
DLinear,,electricity,321,720,2023,0.2577890455722809,0.3496752679347992,dlinear_tslib_electricity_pl720_s2023
DLinear,,electricity,321,720,2024,0.2578118145465851,0.34970247745513916,dlinear_tslib_electricity_pl720_s2024
DLinear,,electricity,321,720,2025,0.25777748227119446,0.3496823012828827,dlinear_tslib_electricity_pl720_s2025
DLinear,,solar_AL,137,96,2021,0.2899568974971771,0.3777507543563843,dlinear_tslib_solar_AL_pl96_s2021
DLinear,,solar_AL,137,96,2022,0.28988781571388245,0.37739449739456177,dlinear_tslib_solar_AL_pl96_s2022
DLinear,,solar_AL,137,96,2023,0.2900037467479706,0.3778049945831299,dlinear_tslib_solar_AL_pl96_s2023
DLinear,,solar_AL,137,96,2024,0.2897889018058777,0.3773362636566162,dlinear_tslib_solar_AL_pl96_s2024
DLinear,,solar_AL,137,96,2025,0.2899014949798584,0.37735727429389954,dlinear_tslib_solar_AL_pl96_s2025
DLinear,,solar_AL,137,192,2021,0.31980225443840027,0.39776286482810974,dlinear_tslib_solar_AL_pl192_s2021
DLinear,,solar_AL,137,192,2022,0.3197346329689026,0.3977871835231781,dlinear_tslib_solar_AL_pl192_s2022
DLinear,,solar_AL,137,192,2023,0.31972193717956543,0.3979540169239044,dlinear_tslib_solar_AL_pl192_s2023
DLinear,,solar_AL,137,192,2024,0.31968382000923157,0.39771679043769836,dlinear_tslib_solar_AL_pl192_s2024
DLinear,,solar_AL,137,192,2025,0.31973448395729065,0.39772671461105347,dlinear_tslib_solar_AL_pl192_s2025
