model,variant,dataset,N,pred_len,seed,MSE,MAE,provenance_id
VGFlash,,bdg2,2817,336,2023,3737563.75,13.916291236877441,vgflash_bdg2_pl336_s2023
VGFlash,,bdg2,2817,336,2024,3732653.25,13.823293685913086,vgflash_bdg2_pl336_s2024
VGFlash,,bdg2,2817,336,2025,3710647.0,13.667482376098633,vgflash_bdg2_pl336_s2025
VGFlash,,bdg2,2817,720,2021,2501890.75,15.13475227355957,vgflash_bdg2_pl720_s2021
VGFlash,,bdg2,2817,720,2022,2522381.25,15.292703628540039,vgflash_bdg2_pl720_s2022
VGFlash,,bdg2,2817,720,2023,2546817.0,15.455938339233398,vgflash_bdg2_pl720_s2023
VGFlash,,bdg2,2817,720,2024,2457187.25,14.855827331542969,vgflash_bdg2_pl720_s2024
VGFlash,,bdg2,2817,720,2025,2540961.75,15.426931381225586,vgflash_bdg2_pl720_s2025
VGFlash,,care_wind,238,96,2021,1.6359444856643677,0.4995703101158142,vgflash_care_wind_pl96_s2021
VGFlash,,care_wind,238,96,2022,1.52186918258667,0.4662356674671173,vgflash_care_wind_pl96_s2022
VGFlash,,care_wind,238,96,2023,1.590152382850647,0.4961588382720947,vgflash_care_wind_pl96_s2023
VGFlash,,care_wind,238,96,2024,1.6376006603240967,0.5023511648178101,vgflash_care_wind_pl96_s2024
VGFlash,,care_wind,238,96,2025,1.5481773614883423,0.48016446828842163,vgflash_care_wind_pl96_s2025
VGFlash,,care_wind,238,192,2021,1.8798319101333618,0.5611796379089355,vgflash_care_wind_pl192_s2021
VGFlash,,care_wind,238,192,2022,1.8378223180770874,0.5541654825210571,vgflash_care_wind_pl192_s2022
VGFlash,,care_wind,238,192,2023,1.8802772760391235,0.5610132813453674,vgflash_care_wind_pl192_s2023
VGFlash,,care_wind,238,192,2024,1.8060290813446045,0.5415214896202087,vgflash_care_wind_pl192_s2024
VGFlash,,care_wind,238,192,2025,1.8774205446243286,0.558879554271698,vgflash_care_wind_pl192_s2025
VGFlash,,care_wind,238,336,2021,2.0861055850982666,0.606898307800293,vgflash_care_wind_pl336_s2021
VGFlash,,care_wind,238,336,2022,2.088050365447998,0.6065933704376221,vgflash_care_wind_pl336_s2022
VGFlash,,care_wind,238,336,2023,2.0646510124206543,0.599323034286499,vgflash_care_wind_pl336_s2023
VGFlash,,care_wind,238,336,2024,2.073004722595215,0.5986940264701843,vgflash_care_wind_pl336_s2024
VGFlash,,care_wind,238,336,2025,2.0890958309173584,0.6061463356018066,vgflash_care_wind_pl336_s2025
VGFlash,,care_wind,238,720,2021,2.3743903636932373,0.6815884113311768,vgflash_care_wind_pl720_s2021
VGFlash,,care_wind,238,720,2022,2.3527908325195312,0.6734728217124939,vgflash_care_wind_pl720_s2022
VGFlash,,care_wind,238,720,2023,2.3638851642608643,0.6770470142364502,vgflash_care_wind_pl720_s2023
VGFlash,,care_wind,238,720,2024,2.3708505630493164,0.6805194616317749,vgflash_care_wind_pl720_s2024
VGFlash,,care_wind,238,720,2025,2.349229335784912,0.6784006357192993,vgflash_care_wind_pl720_s2025
VGFlash,,electricity,321,96,2021,0.14313547313213348,0.23646792769432068,vgflash_electricity_pl96_s2021
VGFlash,,electricity,321,96,2022,0.14324550330638885,0.23661184310913086,vgflash_electricity_pl96_s2022
VGFlash,,electricity,321,96,2023,0.1429726928472519,0.23626407980918884,vgflash_electricity_pl96_s2023
VGFlash,,electricity,321,96,2024,0.14315378665924072,0.2365306317806244,vgflash_electricity_pl96_s2024
VGFlash,,electricity,321,96,2025,0.1426156908273697,0.2359773814678192,vgflash_electricity_pl96_s2025
VGFlash,,electricity,321,192,2021,0.1592310220003128,0.25070273876190186,vgflash_electricity_pl192_s2021
VGFlash,,electricity,321,192,2022,0.1586470603942871,0.2499345988035202,vgflash_electricity_pl192_s2022
VGFlash,,electricity,321,192,2023,0.15869352221488953,0.24994732439517975,vgflash_electricity_pl192_s2023
VGFlash,,electricity,321,192,2024,0.15908609330654144,0.2502569556236267,vgflash_electricity_pl192_s2024
VGFlash,,electricity,321,192,2025,0.1589183807373047,0.2501096725463867,vgflash_electricity_pl192_s2025
VGFlash,,electricity,321,336,2021,0.17896658182144165,0.27262696623802185,vgflash_electricity_pl336_s2021
VGFlash,,electricity,321,336,2022,0.17778454720973969,0.2712599039077759,vgflash_electricity_pl336_s2022
VGFlash,,electricity,321,336,2023,0.17912352085113525,0.27228739857673645,vgflash_electricity_pl336_s2023
VGFlash,,electricity,321,336,2024,0.17774589359760284,0.2711178958415985,vgflash_electricity_pl336_s2024
VGFlash,,electricity,321,336,2025,0.17881356179714203,0.27184680104255676,vgflash_electricity_pl336_s2025
VGFlash,,electricity,321,720,2021,0.21092434227466583,0.30099692940711975,vgflash_electricity_pl720_s2021
