config,dataset,N,pred_len,seed,use_shifted_grouping,use_film_broadcast,MSE,MAE,model_id
shifted_only,electricity,321,96,2023,1,0,0.14343306422233582,0.2365354746580124,ca_shifted_only_electricity_pl96_s2023
shifted_only,solar_AL,137,192,2021,1,0,0.2336098849773407,0.2615163326263428,ca_shifted_only_solar_AL_pl192_s2021
shifted_only,solar_AL,137,192,2022,1,0,0.2349737286567688,0.2619450092315674,ca_shifted_only_solar_AL_pl192_s2022
shifted_only,solar_AL,137,192,2023,1,0,0.23356039822101593,0.26119759678840637,ca_shifted_only_solar_AL_pl192_s2023
shifted_only,solar_AL,137,336,2021,1,0,0.2500816881656647,0.2740297317504883,ca_shifted_only_solar_AL_pl336_s2021
shifted_only,solar_AL,137,336,2022,1,0,0.25373440980911255,0.27570608258247375,ca_shifted_only_solar_AL_pl336_s2022
shifted_only,solar_AL,137,336,2023,1,0,0.251645565032959,0.27519381046295166,ca_shifted_only_solar_AL_pl336_s2023
shifted_only,solar_AL,137,720,2021,1,0,0.25247979164123535,0.2757492661476135,ca_shifted_only_solar_AL_pl720_s2021
shifted_only,solar_AL,137,720,2022,1,0,0.2543342709541321,0.27713319659233093,ca_shifted_only_solar_AL_pl720_s2022
shifted_only,solar_AL,137,720,2023,1,0,0.25315532088279724,0.27632060647010803,ca_shifted_only_solar_AL_pl720_s2023
shifted_only,solar_AL,137,96,2021,1,0,0.20374484360218048,0.23867467045783997,ca_shifted_only_solar_AL_pl96_s2021
shifted_only,solar_AL,137,96,2022,1,0,0.2024374157190323,0.23687419295310974,ca_shifted_only_solar_AL_pl96_s2022
shifted_only,solar_AL,137,96,2023,1,0,0.20227131247520447,0.2379348874092102,ca_shifted_only_solar_AL_pl96_s2023
shifted_only,traffic,862,192,2021,1,0,0.4164837598800659,0.27682340145111084,ca_shifted_only_traffic_pl192_s2021
shifted_only,traffic,862,192,2022,1,0,0.4172263741493225,0.277031809091568,ca_shifted_only_traffic_pl192_s2022
shifted_only,traffic,862,192,2023,1,0,0.4168124198913574,0.2766391932964325,ca_shifted_only_traffic_pl192_s2023
shifted_only,traffic,862,336,2021,1,0,0.43200692534446716,0.2837420105934143,ca_shifted_only_traffic_pl336_s2021
shifted_only,traffic,862,336,2022,1,0,0.4336702823638916,0.28489816188812256,ca_shifted_only_traffic_pl336_s2022
shifted_only,traffic,862,336,2023,1,0,0.4322502017021179,0.28370144963264465,ca_shifted_only_traffic_pl336_s2023
shifted_only,traffic,862,720,2021,1,0,0.46764615178108215,0.30445343255996704,ca_shifted_only_traffic_pl720_s2021
shifted_only,traffic,862,720,2022,1,0,0.46922019124031067,0.3059096932411194,ca_shifted_only_traffic_pl720_s2022
shifted_only,traffic,862,720,2023,1,0,0.927091658115387,0.5379215478897095,ca_shifted_only_traffic_pl720_s2023
shifted_only,traffic,862,96,2021,1,0,0.39794257283210754,0.2701297700405121,ca_shifted_only_traffic_pl96_s2021
shifted_only,traffic,862,96,2022,1,0,0.39910468459129333,0.2710639536380768,ca_shifted_only_traffic_pl96_s2022
shifted_only,traffic,862,96,2023,1,0,0.40014079213142395,0.27179157733917236,ca_shifted_only_traffic_pl96_s2023
vg_only,electricity,321,192,2021,0,0,0.1608714908361435,0.25122180581092834,ca_vg_only_electricity_pl192_s2021
vg_only,electricity,321,192,2022,0,0,0.16071751713752747,0.2510664761066437,ca_vg_only_electricity_pl192_s2022
vg_only,electricity,321,192,2023,0,0,0.1605992615222931,0.25091633200645447,ca_vg_only_electricity_pl192_s2023
vg_only,electricity,321,336,2021,0,0,0.17717160284519196,0.26841211318969727,ca_vg_only_electricity_pl336_s2021
vg_only,electricity,321,336,2022,0,0,0.17740702629089355,0.2686626613140106,ca_vg_only_electricity_pl336_s2022
vg_only,electricity,321,336,2023,0,0,0.17750731110572815,0.2684762477874756,ca_vg_only_electricity_pl336_s2023
vg_only,electricity,321,720,2021,0,0,0.2131846398115158,0.3008926212787628,ca_vg_only_electricity_pl720_s2021
vg_only,electricity,321,720,2022,0,0,0.2118348628282547,0.3008454740047455,ca_vg_only_electricity_pl720_s2022
vg_only,electricity,321,720,2023,0,0,0.21493801474571228,0.30221572518348694,ca_vg_only_electricity_pl720_s2023
vg_only,electricity,321,96,2021,0,0,0.1451173722743988,0.2374260276556015,ca_vg_only_electricity_pl96_s2021
vg_only,electricity,321,96,2022,0,0,0.1446557492017746,0.23702199757099152,ca_vg_only_electricity_pl96_s2022
vg_only,electricity,321,96,2023,0,0,0.14496614038944244,0.23745916783809662,ca_vg_only_electricity_pl96_s2023
vg_only,solar_AL,137,192,2021,0,0,0.23390816152095795,0.26193612813949585,ca_vg_only_solar_AL_pl192_s2021
vg_only,solar_AL,137,192,2022,0,0,0.23430006206035614,0.26201313734054565,ca_vg_only_solar_AL_pl192_s2022
vg_only,solar_AL,137,192,2023,0,0,0.23329338431358337,0.2616056203842163,ca_vg_only_solar_AL_pl192_s2023
vg_only,solar_AL,137,336,2021,0,0,0.24958638846874237,0.2737438678741455,ca_vg_only_solar_AL_pl336_s2021
vg_only,solar_AL,137,336,2022,0,0,0.2535819709300995,0.2764204144477844,ca_vg_only_solar_AL_pl336_s2022
vg_only,solar_AL,137,336,2023,0,0,0.2510354816913605,0.27500471472740173,ca_vg_only_solar_AL_pl336_s2023
vg_only,solar_AL,137,720,2021,0,0,0.25210097432136536,0.2756006717681885,ca_vg_only_solar_AL_pl720_s2021
vg_only,solar_AL,137,720,2022,0,0,0.253084272146225,0.2763743996620178,ca_vg_only_solar_AL_pl720_s2022
vg_only,solar_AL,137,720,2023,0,0,0.25314655900001526,0.27660179138183594,ca_vg_only_solar_AL_pl720_s2023
vg_only,solar_AL,137,96,2021,0,0,0.2036946564912796,0.2386167198419571,ca_vg_only_solar_AL_pl96_s2021
vg_only,solar_AL,137,96,2022,0,0,0.20187833905220032,0.23746734857559204,ca_vg_only_solar_AL_pl96_s2022
vg_only,solar_AL,137,96,2023,0,0,0.20322160422801971,0.23938922584056854,ca_vg_only_solar_AL_pl96_s2023
vg_only,traffic,862,192,2021,0,0,0.41647741198539734,0.27612343430519104,ca_vg_only_traffic_pl192_s2021
vg_only,traffic,862,192,2022,0,0,0.4175355136394501,0.27682361006736755,ca_vg_only_traffic_pl192_s2022
vg_only,traffic,862,192,2023,0,0,0.4175720810890198,0.2766290307044983,ca_vg_only_traffic_pl192_s2023
vg_only,traffic,862,336,2021,0,0,0.432767778635025,0.283669114112854,ca_vg_only_traffic_pl336_s2021
vg_only,traffic,862,336,2022,0,0,0.4340988099575043,0.2848477065563202,ca_vg_only_traffic_pl336_s2022
vg_only,traffic,862,336,2023,0,0,0.43209394812583923,0.28303974866867065,ca_vg_only_traffic_pl336_s2023
vg_only,traffic,862,720,2021,0,0,0.4805043935775757,0.3160053491592407,ca_vg_only_traffic_pl720_s2021
vg_only,traffic,862,720,2022,0,0,0.46716976165771484,0.3037194013595581,ca_vg_only_traffic_pl720_s2022
vg_only,traffic,862,720,2023,0,0,0.46696171164512634,0.30324220657348633,ca_vg_only_traffic_pl720_s2023
vg_only,traffic,862,96,2021,0,0,0.3990674316883087,0.2705686092376709,ca_vg_only_traffic_pl96_s2021
vg_only,traffic,862,96,2022,0,0,0.4015199840068817,0.2730720639228821,ca_vg_only_traffic_pl96_s2022
vg_only,traffic,862,96,2023,0,0,0.4009837508201599,0.2722526788711548,ca_vg_only_traffic_pl96_s2023
